,Name,Continent,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Youth,Children,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
67,Crystal Mountain (WA),America,1341,2137,50.0,8.0,27.0,15.0,,10.0,149,128,47, 2021-11-19,2022-05-15, mid November,early April, 09:00,16:00
68,Snowbasin,America,1950,2850,48.0,5.0,28.0,15.0,,9.0,135,65,,,nan, mid November,mid April, 09:00,16:00
69,Loon Mountain,America,300,930,45.0,13.0,26.0,6.0,,10.0,104,89,, 2021-11-20,2022-04-18, mid November,early April, 08:00,16:00Limited opening times during the week
70,Timberline,America,1478,2603,31.0,8.0,15.0,8.0,,7.0,89,79,59, 2021-10-29,2022-09-04, early November,mid April, 09:00,16:00
71,Apache,America,2926,3475,55.0,12.0,18.0,25.0,,11.0,,,,,nan,,early April,,nan
72,Hunter Mountain,America,487,975,55.0,18.0,18.0,19.0,,12.0,91,68,,,nan,,early May, 08:30,16:00
73,Tamarack Resort,America,1490,2347,42.0,12.0,20.0,10.0,,6.0,100,65,45, 2021-11-26,2022-04-03, early December,early April, 09:00,16:00
74,Windham Mountain,America,458,945,46.0,20.0,16.0,10.0,,7.0,,,,,nan,,late March,,nan
75,Arizona Snowbowl,America,2804,3505,37.0,12.0,14.0,11.0,,6.0,99,75,,,nan,,mid April, 09:00,16:00
76,Mt. Hood Skibowl,America,1120,1510,65.0,15.0,15.0,35.0,,9.0,59,39,,,nan, mid November,mid April, 09:00,22:00Limited opening times during the week
77,Holiday Valley,America,457,685,48.0,16.0,13.0,19.0,,13.0,85,66,,,nan,,early April, 08:30,22:00
78,Grand Targhee,America,2310,3048,35.0,5.0,15.0,15.0,,4.0,110,49,, 2021-11-19,2022-04-18, late November,early April, 09:00,16:00
79,Cannon Mountain,America,599,1243,50.0,15.0,25.0,10.0,,11.0,79,66,57,,nan,,early April, 08:30,16:30
80,Stevens Pass,America,1170,1750,39.0,6.0,18.0,15.0,20.0,10.0,100,67,,,nan, early December,mid April, 09:00,22:00
81,Lutsen Mountains,America,263,515,40.0,8.0,19.0,13.0,,7.0,84,69,,,nan,,early April, 09:00,16:00Limited opening times during the week
82,Eldora Mountain,America,2804,3292,52.0,11.0,26.0,15.0,,10.0,129,79,,,nan, late November,early April, 09:00,16:00
83,Loveland,America,3245,3871,93.0,12.0,38.0,43.0,,9.0,89,35,, 2021-10-30,2022-05-08, early October,mid April, 09:00,16:00
84,Powderhorn,America,2499,3000,38.0,5.0,15.0,18.0,,3.0,79,69,39,,nan, late November,early April, 10:00,17:00
85,White Pass,America,1371,1986,30.0,10.0,12.0,8.0,,6.0,,,,,nan,,early April,,nan
86,Pico Mountain,America,610,1209,30.4,5.4,14.0,11.0,,7.0,85,65,,,nan, mid December,early April, 09:00,16:00
87,Lost Trail Powder Mountain,America,1960,2550,50.0,15.0,25.0,10.0,,8.0,46,36,,,nan,,early April, 09:30,16:00Limited opening times during the week
88,Sundance,America,1850,2515,44.0,15.0,20.0,9.0,,6.0,85,58,,,nan, early December,late April, 09:00,21:00
89,China Peak,America,2147,2630,50.0,20.0,17.0,13.0,,7.0,,,,,nan,,early April,,nan
90,Discovery Ski Area,America,1758,2484,45.0,12.0,12.0,21.0,30.0,7.0,49,26,,,nan, late November,early April, 09:00,16:00
91,Mad River Glen,America,487,1108,46.0,14.0,17.0,15.0,,4.0,92,74,,,nan, early December,early May, 09:00,16:00
92,June Mountain,America,2288,3075,35.7,2.1,12.9,20.7,,6.0,129,106,, 2021-12-11,2022-04-18, mid December,early April, 08:30,16:00
93,Gunstock,America,264,690,40.0,5.0,25.0,10.0,,6.0,,,,,nan,,mid April,,nan
94,Donner Ski Ranch,America,2142,2371,52.0,13.0,26.0,13.0,,6.0,79,69,39,,nan, mid December,early April, 09:00,16:00
95,Great Divide,America,1752,2210,50.0,10.0,20.0,20.0,,6.0,,,,,nan,,late March,,nan
96,Dodge Ridge,America,2011,2499,50.0,10.0,20.0,20.0,,10.0,78,59,28,,nan, early December,early April, 09:00,16:00
97,Attitash Mountain Resort,America,183,716,37.0,7.4,17.4,12.2,,8.0,94,74,, 2021-12-11,2022-04-03, late November,early April, 09:00,16:00
98,Cranmore Mountain Resort,America,267,609,43.0,16.0,19.0,8.0,7.0,6.0,89,66,52,,nan, mid December,mid April, 09:00,16:00
99,Mt. Sunapee,America,385,828,30.0,8.0,16.0,6.0,,8.0,99,66,,,nan,,mid March, 08:00,16:00Limited opening times during the week
100,Silver Mountain,America,1250,1920,25.0,4.0,8.0,13.0,,6.0,62,47,,,nan,,early April, 08:15,17:00
101,Brundage Mountain,America,1780,2328,30.0,6.0,15.0,9.0,,5.0,70,40,26,,nan, mid November,early April, 09:30,16:30
102,Bear Mountain – Big Bear Lake,America,2176,2684,27.2,8.0,11.2,8.0,,,,,,,nan,,early April,,nan
103,Snowshoe Mountain,America,1000,1478,31.0,14.0,11.0,6.0,,12.0,119,107,101, 2021-12-03,2022-03-27, late November,late March, 09:00,16:30
104,Ragged Mountain,America,340,680,22.5,4.5,10.0,8.0,,4.0,84,70,60,,nan,,late March, 09:00,16:00
105,Terry Peak,America,1800,2130,16.0,4.7,7.2,4.1,,4.0,58,43,,,nan,,early April, 09:00,16:00
106,Granite Peak at Rib Mountain State Park,America,380,594,20.0,10.0,5.0,5.0,,5.0,82,62,,,nan, early December,late March, 08:30,16:00
107,Santa Fé,America,3154,3679,34.0,9.0,15.0,10.0,,5.0,80,62,54,,nan, late November,late March, 09:00,16:00
108,Snow Valley,America,2050,2390,34.0,4.0,20.0,10.0,,9.0,89,79,45,,nan, late November,mid April, 08:30,16:00
109,Wildcat Mountain,America,594,1238,25.0,5.2,12.1,7.7,,4.0,94,74,, 2021-12-10,2022-04-10, late November,early April, 08:30,15:30
110,Beaver Mountain,America,2195,2700,30.0,10.0,12.0,8.0,,4.0,50,40,,,nan, early December,early April, 09:00,16:00
111,Saddleback,America,646,1220,22.0,4.0,8.0,10.0,,4.0,79,69,59,,nan, mid December,, 08:30,15:55Limited opening times during the week
112,Camelback,America,380,623,34.0,20.0,11.0,3.0,,9.0,70,50,,,nan,,, 09:00,16:00
113,Waterville Valley,America,605,1220,25.0,3.5,16.0,5.5,,9.0,,,,,nan,,,,nan
114,Willamette Pass – Crescent,America,1560,2036,29.0,6.0,13.0,10.0,,5.0,60,40,,,nan, mid November,, 09:00,16:00
115,Snow Summit – Big Bear Lake,America,2130,2500,29.0,10.0,12.0,7.0,,,,,,,nan,,,,nan
116,Montana Snowbowl,America,1523,2316,31.0,5.0,12.0,14.0,,5.0,50,47,24,,nan,,, 09:00,16:00Limited opening times during the week
117,Timberline Mountain,America,996,1301,18.0,6.0,6.0,6.0,,2.0,,,,,nan,,,,nan
118,Lookout Pass,America,1450,1675,31.0,8.0,14.0,9.0,,4.0,49,37,,,nan,,, 08:30,16:00
119,Belleayre Mountain,America,617,1045,20.0,5.0,11.0,4.0,,5.0,95,70,55, 2021-12-10,2022-04-04, late November,, 09:00,16:00
120,Mountain Creek – Vernon,America,134,451,24.0,4.0,14.0,6.0,,7.0,79.99,,,,nan,,,,nan
121,The Summit at Snoqualmie,America,800,1180,27.9,5.2,13.7,9.0,100.0,21.0,95,62,15,,nan, early December,, 09:00,16:00
122,Haystack Mountain – The Hermitage Club,America,550,975,19.3,5.6,9.5,4.2,,,,,,,nan,,, 09:00,22:00
123,Sandia Peak,America,2630,3140,31.0,8.0,20.0,3.0,,5.0,55,45,40,,nan,,, 09:00,20:00
124,Bristol Mountain,America,304,670,20.0,6.0,10.0,4.0,,5.0,79,64,,,nan,,, 09:00,10:00
125,Mt. Spokane,America,1185,1795,26.0,7.0,5.0,14.0,,6.0,62,52,,,nan,,, 09:00,21:30
126,Monarch,America,3290,3630,31.0,5.0,14.0,12.0,,5.0,89,59,43,,nan, mid November,, 09:00,16:00
127,Pats Peak,America,180,426,33.0,10.0,8.0,15.0,,9.0,72,62,,,nan,,, 08:30,16:00
128,Wachusett Mountain,America,306,611,12.0,3.6,4.8,3.6,,4.0,71,58,,,nan, early December,, 09:00,16:00
129,Boyne Highlands,America,240,408,25.7,10.3,7.7,7.7,,8.0,98,82,72,,nan,,, 09:00,16:30
130,Granby Ranch,America,2499,2804,20.0,6.0,10.0,4.0,,5.0,84,49,,,nan, mid December,, 09:00,16:00
131,Magic Mountain,America,350,868,23.0,7.0,7.0,9.0,,5.0,74,54,,,nan, mid December,, 08:30,16:00Limited opening times during the week
132,Blue Mountain,America,140,470,18.0,10.0,6.0,2.0,,6.0,79,,,,nan,,, 08:30,22:00
133,Diamond Peak,America,2042,2602,17.0,2.0,8.0,7.0,,6.0,109,89,49,,nan, mid December,, 08:00,16:00
134,Titus Mountain,America,58,423,27.0,10.0,10.0,7.0,,10.0,49,44,39,,nan, mid December,, 09:00,22:00
135,Sugar Mountain,America,1249,1589,14.0,4.0,7.0,3.0,,7.0,75,52,,,nan,,, 09:00,16:30
136,Maverick Mountain,America,1980,2596,20.0,6.0,8.0,6.0,,1.0,39,25,,,nan,,, 09:30,16:00
137,Soldier Mountain,America,1770,2188,25.0,9.0,8.0,8.0,,2.0,,,,,nan,,,,nan
138,Boreal,America,2195,2357,20.0,6.0,11.0,3.0,,,,,,,nan, early December,, 09:00,21:00
139,Mountain High East,America,2010,2496,11.0,2.0,5.0,4.0,,4.0,,,,,nan,,,,nan
140,Cooper,America,3200,3566,26.0,8.0,10.0,8.0,,4.0,56,35,,,nan,,, 09:00,16:00
141,Pebble Creek,America,1938,2609,19.0,6.0,9.0,4.0,,3.0,47,32,,,nan,,, 09:30,16:00
142,Shawnee Peak,America,160,550,23.0,4.0,12.0,7.0,,4.0,75,58,,,nan,,, 09:00,16:00
143,Mt. Baldy,America,1977,2620,20.0,3.0,6.0,11.0,,4.0,76,61,45,,nan, late November,, 09:00,16:00
144,Mt. Shasta Ski Park,America,1670,2100,23.0,5.0,8.0,10.0,,3.0,65,45,,,nan,,, 09:00,21:00
145,Butternut,America,250,540,22.0,4.4,13.2,4.4,,5.0,65,55,,,nan,,, 08:15,16:00Limited opening times during the week
146,Sunlight Mountain,America,2403,3015,20.0,4.0,11.0,5.0,,3.0,65,45,,,nan, early December,, 09:00,16:00
147,Holimont,America,475,689,20.0,4.0,6.0,10.0,,8.0,75,60,,,nan,,, 09:30,16:20
148,Seven Springs,America,690,915,17.0,6.0,7.0,4.0,,10.0,89,70,,,nan,,, 09:00,22:00
149,Cherry Peak,America,2250,2635,20.0,5.0,10.0,5.0,,3.0,40,30,,,nan, late November,, 09:00,21:00
150,Red River,America,2640,3135,20.0,7.0,6.0,7.0,,7.0,79,73,63,,nan,,, 09:00,16:00
151,Showdown,America,2090,2500,20.0,6.0,8.0,6.0,,3.0,47,37,25,,nan,,, 09:30,16:00
152,Burke Mountain,America,371,975,10.0,2.0,4.0,4.0,,5.0,73,52,,,nan,,, 10:00,16:00
153,Cascade Mountain,America,250,378,14.0,5.0,5.0,4.0,,10.0,,,,,nan,,,,nan
154,Nordic Valley,America,1632,2153,9.5,2.5,4.0,3.0,,4.0,50,35,,,nan, mid November,, 09:00,21:00
155,Eagle Point,America,2773,3230,20.0,6.0,9.0,5.0,,5.0,,,,,nan,,,,nan
156,Arctic Valley,America,762,1188,25.0,5.0,10.0,10.0,,4.0,45,35,25,,nan,,, 10:30,16:00Limited opening times during the week
157,Mountain High West,America,2110,2410,15.0,3.0,5.0,7.0,,5.0,,,,,nan,,,,nan
158,Greek Peak,America,350,640,19.0,9.0,4.0,6.0,,6.0,84,71,,,nan, early December,, 09:30,18:00
