,Adults,Youth,Children
244," 33,- "," 27,-__",
245," 37,- "," 33,- "," 18,-__"
246," 40,- "," 34,- "," 24,-__"
247," 49,- "," 40,- "," 35,-__"
248," 40,- "," 28,- "," 20,-__"
249," 44,- ", 39.50 , 23.50__
250," 44,- "," 36,- "," 22,-__"
251," 71,- approx. "," 60,- approx. "," 42,-__"
252," 54,- approx. "," 46,- approx. "," 28,-__"
253,,,
254," 54,- approx. "," 38,- approx. "," 21,-__"
255, 52.50 , 40.50 ," 20,-__"
256, 38.50 , 33.50__,
257," 52,- approx. "," 42,- approx. "," 31,-__"
258," 37,- "," 27,- "," 19,-__"
259," 40,- approx. "," 33,-__",
260, 38.50 ," 30,- "," 24,-__"
261," 48,- ", 38.50 ," 22,-__"
262, 33.20 , 28.40 , 26.40__
263," 54,- approx. "," 34,- approx. "," 31,-__"
264," 33,- approx. "," 25,-__",
265," 33,- "," 27,-__",
266," 42,- "," 33,- "," 25,-__"
267," 35,- approx. "," 24,-__",
268," 42,- "," 37,-__",
269," 42,- approx. "," 35,-__",
270," 45,- approx. "," 35,-__",
271," 32,- "," 26,- "," 22,-__"
272," 45,- "," 33,- ", 22.50__
273, 38.50 ," 31,- "," 23,-__"
274, 52.50 , 40.50 ," 20,-__"
275," 34,- "," 28,- "," 17,-__"
276," 50,- ", 38.50 , 26.50__
277," 32,- "," 27,-__",
278," 46,- "," 41,- "," 33,-__"
279," 32,- ", 27.50__,
280," 50,- approx. "," 40,- approx. "," 25,-__"
281," 36,- "," 32,-__",
282," 35,- "," 26,-__",
283," 39,- "," 34,- "," 20,-__"
284," 45,- "," 39,-__",
285," 45,- approx. "," 38,- approx. "," 30,-__"
286,,,
287," 25,- approx. "," 23,-__",
288," 40,- approx. "," 32,-__",
289, 39.50 ," 30,- "," 20,-__"
290," 38,- "," 31,- ", 22.50__
291," 28,- approx. "," 23,-__",
292, 41.50 , 35.50__,
293, 33.40 , 24.60__,
294," 51,- approx. "," 39,- approx. "," 18,-__"
295," 38,- "," 33,-__",
296," 41,- ", 31.50 , 20.50__
297, 42.50 ," 36,- "," 20,-__"
298," 34,- approx. "," 25,-__",
299, 34.50 ," 29,- ", 22.50__
300, 42.30 , 28.80 , 19.50__
301," 40,- ", 31.50 ," 22,-__"
302," 29,- "," 19,-__",
303," 44,- "," 34,- "," 22,-__"
304,,,
305," 31,- "," 26,-__",
306, 29.50 ," 26,- ", 23.50__
307," 54,- approx. "," 45,- approx. "," 32,-__"
308," 38,- ", 32.50__,
309," 47,- approx. "," 36,-__",
310," 57,- approx. "," 49,- approx. "," 27,-__"
311, 41.50 , 37.50__,
312,,,
313," 50,- "," 44,- ", 12.50__
314," 51,- approx. "," 46,- approx. "," 33,-__"
315,,,
316,,,
317,,,
318,,,
319,,,
320, 33.50 , 26.90 ," 23,-__"
321," 30,-__",,
322," 48,- "," 46,- "," 34,-__"
323, 48.50 ," 45,-__",
324," 22,- "," 20,- "," 18,-__"
325," 38,- approx. "," 22,-__",
326, 34.50 ," 22,-__",
327," 40,- "," 32,- "," 24,-__"
328," 31,- approx. "," 26,- approx. "," 21,-__"
329,,,
330," 47,- approx. "," 39,-__",
331," 43,- "," 36,- "," 24,-__"
332," 45,- approx. "," 22,-__",
333," 25,- ", 22.50 ," 15,-__"
334," 37,- "," 23,-__",
335," 39,- "," 27,-__",
336," 36,- ", 32.50 ," 18,-__"
337," 44,- "," 36,- "," 22,-__"
338," 33,- "," 27,- "," 17,-__"
339," 40,- "," 33,- "," 14,-__"
340," 35,- "," 15,-__",
341," 33,- "," 28,- "," 19,-__"
342," 30,- "," 24,-__",
343, 38.50 ," 33,-__",
344,,,
345, 47.50 ," 41,- ", 23.50__
346," 46,- ", 34.50 ," 28,-__"
347," 41,- "," 29,- "," 21,-__"
348," 44,- approx. "," 34,-__",
349," 54,- approx. "," 42,- approx. "," 32,-__"
350,,,
351,,,
352, 38.50 ," 26,-__",
353,,,
354,,,
355," 43,- approx. "," 39,- approx. "," 29,-__"
356," 45,- "," 37,-__",
357,,,
358,,,
359, 39.50 ," 30,- "," 10,-__"
360," 32,- "," 28,- ", 25.50__
361, 25.50 , 21.60 , 20.40__
362,,,
363,,,
364," 40,- ", 32.50 ," 25,-__"
365," 51,- approx. "," 43,- approx. "," 30,-__"
366," 33,- "," 31,- "," 28,-__"
367,,,
368,,,
369,,,
370,,,
371," 32,- "," 19,-__",
372," 49,- "," 40,- "," 35,-__"
373," 31,- "," 20,-__",
374, 39.50 ," 30,- "," 10,-__"
375," 43,- "," 32,-__",
376, 34.50 , 28.40 , 24.10__
377," 60,- approx. "," 54,- approx. "," 40,-__"
378," 35,- "," 31,- "," 21,-__"
379,,,
380, 35.50 , 28.50__,
381,,,
382,,,
383, 28.50 ," 24,- ", 16.50__
384,,,
385," 35,- "," 32,-__",
386," 44,- ", 37.50 ," 22,-__"
