,Pistas_Totales,Easy,Intermediate,Difficult,Aditional_Routes
314,60,43,15,2,
315,26.6,16.4,6.4,3.8,
316,26.6,16.4,6.4,3.8,
317,45,20,20,5,
318,32.6,5.7,12.8,14.1,
319,30,19.5,7.5,3,
320,60,30,20,10,
321,25,5,15,5,
322,6.1,6.1,0,0,
323,1.5,0.7,0.5,0.3,
324,4.7,2.4,2.3,0,
325,52.8,17.3,26.3,9.2,
326,10,7,3,0,
327,13.9,0.5,13,0.4,5
328,13.5,10.9,2.1,0.5,
329,36,18,15,3,
330,56,40,7,9,
331,37,15,19,3,
332,30,7.5,20,2.5,
333,8,3,4,1,2
334,0.3,0.3,0,0,
335,27.5,14,12,1.5,
336,14,6.5,6.5,1,
337,20.5,1.4,15.5,3.6,
338,13,7,4,2,
339,44.1,14.2,28.6,1.3,
340,35,15,10,10,
341,41.5,23.5,13,5,
342,55,29,20,6,
343,36,21,12,3,
344,50,25,20,5,
345,26,20,6,0,
346,18,4,13,1,4.5
347,22.7,10.5,9.2,3,1
348,12,9,3,0,
349,47.5,3.5,27,17,6
350,35,11,21,3,
351,41.3,10,22.7,8.6,2.7
352,22,3,17,2,
353,25,13,8,4,
354,30,10,15,5,30
355,50,18,31,1,
356,50,15.8,18.3,15.9,11.2
357,30,1,25,4,
358,24,6,12,6,4
359,22,9,8,5,
360,20.7,5.4,13.2,2.1,
361,48,20,28,0,
362,25,14,7,4,
363,35,18,12,5,
364,19,5,10,4,
365,35,13,19,3,
366,50,21,20,9,
367,25,5,20,0,
368,20,8,8,4,
369,30,5,20,5,
370,39.9,16.8,18.8,4.3,10.1
371,8,7.4,0.6,0,
372,8.3,2.7,5.6,0,0.7
373,16,7,9,0,
374,24,9,11,4,
375,23.3,10.4,8.1,4.8,
376,43,30,9,4,
377,30,14.5,5.5,10,
378,30,7,15,8,
379,50,14,32,4,
380,32,16,10,6,
381,23,6,12,5,
382,40,20,15,5,
383,55,36,17,2,
384,50,30,17,3,
385,30.9,8.7,13.7,8.5,5.6
386,36,7,27,2,25
387,9.3,3.5,3.6,2.2,
388,30,17.5,8,4.5,
389,30,3.7,21,5.3,
390,15,10,5,0,
391,5,0,4,1,
392,8.5,2.5,5,1,1
393,9,3,5.5,0.5,
394,17,6,9,2,3
395,40,15,25,0,
396,29,13,16,0,
397,35,20,13,2,
398,15,10.5,4,0.5,
399,40,20,14,6,
400,29.6,17.6,6.5,5.5,
401,27,12,13,2,
402,33,15,15,3,
403,22,10,10,2,2
404,11,3.6,7.4,0,
405,13,4.5,7,1.5,
406,27,8,15,4,
407,20,6,11,3,
408,20,6,12,2,
409,25,17,5,3,
410,26.7,10.7,11.7,4.3,
411,20,4,9,7,
412,14,2,9,3,
413,24,10,11,3,
414,40,19.6,18,2.4,
415,42,2,34,6,
416,8,3,3.4,1.6,
417,30,15,12,3,
418,23,13,8,2,
419,20,7,13,0,
420,4.5,2,2,0.5,
421,19,7,10,2,
422,20,14,5,1,
423,26.7,13.5,8.5,4.7,
424,8.3,3.5,2,2.8,
425,32,18,5,9,
426,27,13,9,5,
427,35,13,12,10,
428,30,1,15,14,10
429,34.2,18,12,4.2,
430,19.7,2.3,15.5,1.9,
431,20,9,9,2,
432,23,13,8,2,
433,17.9,3.4,11.7,2.8,5
434,26,7,17,2,
435,35,15,20,0,
436,20,10,7,3,
437,32,9,19.5,3.5,
438,22,4,16,2,
439,9,4,3,2,
440,30,21,6,3,
441,12,4,6,2,
442,20.5,10.5,10,0,8.5
443,18,9,6,3,
444,13,8,3,2,
445,58,24,29,5,
446,11,4,6,1,
447,10,4,5,1,
448,1.8,1.7,0.1,0,
449,40,24,14,2,
450,35,25,7,3,
451,29.5,5.1,21.8,2.6,
452,20,8,8,4,
453,13.7,7.2,5.9,0.6,3.7
454,20,12,6,2,
455,20,7,10,3,
456,21,14,6,1,
457,28,6,21,1,
458,20,8,10,2,
459,20,7,10,3,
460,15.2,3,11.9,0.3,
461,12,6,4,2,
462,23,17,5,1,
463,38,20,15,3,
464,13.6,8.3,5.3,0,3.6
465,22,6.8,10.8,4.4,
466,17,5.7,7.6,3.7,
467,22.2,3.8,11.3,7.1,
468,17,3.5,12,1.5,
469,40,18,15,7,
470,31.6,18.3,10.5,2.8,
471,20,6,7,7,
472,13.8,6.4,6.2,1.2,
473,15.5,7,7,1.5,
474,27.7,13.6,10.9,3.2,
475,28.5,17.4,8.7,2.4,
476,14,9.5,3,1.5,
477,25,13.4,10,1.6,
478,8,6,2,0,8
479,8,1.8,5.3,0.9,
480,11,1,8,2,
481,9,8,1,0,1
482,30,20,9,1,
483,30,21.1,5.4,3.5,
484,17.6,6,5,6.6,
485,13.4,4.9,6.9,1.6,
486,15,3.1,10.9,1,2.5
487,19.9,13.1,3,3.8,
488,23,10,12,1,
489,33,20,12,1,
490,25,7.6,9.4,8,
491,47,20,18,9,
492,32,16,12,4,
493,7,1.6,4.2,1.2,
494,9,4.4,1.6,3,
495,30,20,8,2,
496,40,24,10,6,
497,30,16,12,2,
498,25,12,12,1,
499,32,26,3,3,
500,20,6,10,4,
501,19.2,5.7,10,3.5,
502,19,8,7,4,
503,23,13.7,8,1.3,
504,22.5,12.8,6.9,2.8,
505,12.6,7.2,5.1,0.3,
506,18,10.1,7.3,0.6,2.5
507,22,9.5,12.5,0,
508,7.5,1.5,5,1,
509,13.1,3.6,4.5,5,14
510,32,9,17,6,
511,19.9,1.6,16.1,2.2,
512,8.9,3.6,3.7,1.6,
513,20,5,8,7,4
514,8,2,5,1,
515,2.2,0.6,1,0.6,
516,16,0.5,11.3,4.2,
517,13,7,6,0,
518,30,10,17,3,
519,23,7,12,4,
520,12.2,3.4,7.8,1,3
521,30,19,4,7,
522,25,17,3,5,
523,10,5,4.6,0.4,
524,21,7,11,3,
525,11.5,5.5,5.3,0.7,
526,18.2,2.2,11.9,4.1,
527,10.6,6.1,3.5,1,
528,12.5,10.7,1.4,0.4,
529,24.3,7,10,7.3,
530,12,10,1.1,0.9,
531,25,12,10,3,
532,13.7,7.6,4.7,1.4,
533,13,7,3,3,
534,20,10,8,2,
535,15,10,3,2,
536,20.8,6.8,9.5,4.5,3.5
537,,,,,
538,10,4,4,2,
539,30,16,12,2,
540,22,15,6,1,
541,18.7,0.3,10,8.4,
542,14,5,7,2,
543,15,2,9,4,
544,7,2,2,3,
545,17.5,9.5,5,3,
546,24,18.2,4,1.8,
547,10.9,6.8,4.1,0,
548,13.7,5.8,2.8,5.1,5
549,7,3,3,1,
550,30,15,14,1,
551,24,10,12,2,
552,12,7,4,1,
553,21,13,7.8,0.2,
554,20.5,10.5,6.5,3.5,
555,12,3,7.5,1.5,
556,15,11,3,1,
557,26.8,8.6,18.2,0,
558,12,5,6,1,
559,20,8,10,2,
560,29,22,5,2,
561,10.4,6.9,3.5,0,
562,10.5,4.2,6.3,0,
563,7.4,1.8,4.4,1.2,0.6
564,21,13,7,1,1
565,20,10,8,2,
566,16,2.7,13.3,0,
567,18,6,6,6,
568,18,12,5,1,
569,12,6,6,0,2
570,17.2,9.4,6.8,1,
571,20,10,8,2,
572,5,2.5,2.5,0,
573,32,24,6,2,
574,20,6,4,10,
575,20,9,9,2,
576,20,9,9,2,
577,20,2,18,0,
578,12,5.8,6.2,0,
579,19,6,12,1,6
580,12,3.3,6.7,2,
581,19,13,3,3,
582,20,8,12,0,
583,13.4,6.6,5.2,1.6,
584,25,13,10,2,
585,10,1.5,7,1.5,
586,22,12,7,3,
587,19,9,8.2,1.8,
588,7,4,2,1,
589,15,3.5,11.5,0,
590,14,9.5,2.4,2.1,1
591,4,2,2,0,
592,22,4,14,4,
593,8.5,3.2,3.4,1.9,
594,28,18,10,0,1
595,16,7,7,2,
596,15,2,11,2,3
597,30,13,13,4,
598,17,10,6,1,
599,20,14,5,1,
600,5.8,2.6,1.7,1.5,
601,12.5,4.5,7,1,
602,25,9,12,4,5.6
603,15,3,10,2,
604,40,10,30,0,
605,15,1,12,2,
606,22.3,18.8,3.5,0,
607,14,11,1,2,
608,30,10,10,10,
609,13,5.9,7.1,0,
610,10,3,6,1,
611,15.6,2,10.1,3.5,
612,9.3,1.5,6.2,1.6,
613,16,10,4,2,
614,7.5,2,5.5,0,
615,15.5,5.3,6.6,3.6,
616,29,16,12,1,
617,12.6,5.6,4.1,2.9,
618,20,11,7,2,
619,20,10,8,2,
620,14,8,4,2,
621,18,12,5,1,
622,20,11,9,0,
623,8,2.5,5.5,0,
624,10.3,4.5,3.7,2.1,
625,14.4,0.5,10.8,3.1,
626,20,10,10,0,
627,10.3,1.5,8.8,0,
628,9,3,2,4,7
629,5,0.5,4.5,0,
630,2.5,1.5,1,0,3.6
631,0.6,0.3,0.3,0,
632,13,0,13,0,9.3
633,13,5,5,3,
634,13,5,5,3,
635,12,5,5,2,
636,20,8,7,5,
637,10.7,6.4,3.7,0.6,
638,15,14,1,0,
639,15,5,7,3,
640,20.6,5.4,11.4,3.8,
641,22,5,12,5,
642,5.7,2.2,3.5,0,
643,12,7,4,1,
644,8,2,5,1,
645,7,1,6,0,4
646,10.3,6.5,3.8,0,
647,12,1,6,5,
648,9,2,4,3,
649,5,2,2,1,
650,11.9,3.5,6.4,2,2.2
651,9,5,2,2,
652,16,3,13,0,
653,9,0.3,8.7,0,
654,7.6,4.8,2.2,0.6,
655,7.8,3.8,4,0,
656,15,7,5,3,
657,23,10,13,0,
658,15,3,10,2,
659,8.5,2.5,6,0,
660,11.2,4.2,6,1,16.8
661,7,2.5,3.6,0.9,
662,3.5,1.5,1.2,0.8,
663,18,8,2,8,
664,20,10,8,2,
665,15,7,8,0,
666,6.1,3.8,2.3,0,
667,12,4,7,1,2
668,4.3,2.4,1.9,0,
669,8.8,4.2,3.3,1.3,
670,25,17,5,3,
671,4,1.5,1.5,1,
672,4.2,1.4,2.8,0,
673,3.4,1.4,2,0,
674,2,2,0,0,
675,10.9,4.1,2.7,4.1,1
676,5,5,0,0,
677,10,8,2,0,
678,5.7,2.9,2.5,0.3,
679,14,8,5,1,
680,15,11,1.5,2.5,3
681,25,5,15,5,
682,13,5,7,1,2
683,17,10,7,0,
684,8.4,0.9,6.5,1,
685,12.2,4.8,5.8,1.6,
686,10,4,6,0,
687,13,5.1,7.4,0.5,
688,8,2,5,1,
689,13,11,2,0,
690,14,2,10,2,
691,15,7,8,0,
692,2.5,1.1,1.4,0,
693,16,10,4,2,
694,14.9,6,7,1.9,
695,11,4.8,5.9,0.3,
696,3.6,0,3,0.6,
697,15,7,8,0,2.4
698,15,10,4.5,0.5,
699,9.6,4.6,2,3,
700,13.4,1.9,9.1,2.4,
701,10.2,3.6,6.6,0,9.8
702,10,3,3,4,
703,9.2,2.5,5.9,0.8,
704,8,4,2,2,
705,9,5,3.5,0.5,
706,8,0.6,4.3,3.1,
707,2.9,1.6,1.3,0,
708,12.5,8,2.5,2,
709,17,13.5,1.8,1.7,
710,17,13.5,1.8,1.7,
711,10,4,4,2,1
712,7.5,2.1,3.3,2.1,
713,7.5,2.5,2.5,2.5,
714,25,10,12,3,
715,11,7,4,0,
716,9,5,3,1,
717,2.2,0.6,1.6,0,
718,9.3,5,3,1.3,
719,15,6,7,2,2
720,7.8,3.2,1.7,2.9,
721,12,3,9,0,30
722,0.5,0.5,0,0,
723,5,1,4,0,
724,0.5,0.5,0,0,
725,11,6,5,0,2.5
726,4.6,1.3,2.3,1,
727,17.9,5.6,11.2,1.1,
728,1.6,0.2,1.4,0,
729,18.6,8.8,7.9,1.9,
730,11.9,8.3,2.6,1,0.7
731,12,7,2,3,
732,8.3,4.3,3,1,
733,14,5,6,3,
734,2.9,0.2,2.7,0,
735,11,2.3,8.2,0.5,
736,6.3,0.7,5.6,0,
737,0.6,0.5,0.1,0,
738,12,3,7,2,
739,16.8,2.1,14.7,0,1.5
740,12,4,8,0,
741,12.4,6.4,4,2,
742,21.5,12.3,7.5,1.7,
743,22,8,12,2,
744,8.2,5.2,3,0,
745,10,1,8,1,
746,12,3,5,4,
747,23,13,8,2,
748,15,10,5,0,
749,12.3,1.7,9.2,1.4,
750,11.2,6.6,4.2,0.4,
751,9.2,0.2,5,4,
752,25,4,21,0,
753,26,18,8,0,
754,17,7,6,4,
755,8,2,5,1,
756,8.5,2,6,0.5,
757,9.4,2,6,1.4,
758,8.8,4,3.2,1.6,
759,10.3,2,7.3,1,
760,15,8,5,2,
761,20,11,6,3,
762,10,2,8,0,
763,17,4,11,2,
764,7,1.4,5.5,0.1,
765,6,3.5,2.5,0,
766,7.2,4.3,2.9,0,
